Class Number,Class Name,Major,Abbr.,Credits,College,Year
255,INTRODUCTION TO PROGRAMMING,Computer Science,CMSC,4,Engineering,Soph
256,DATA STRUCTURE & OBJECT PROG,Computer Science,CMSC,3,Engineering,Soph
302,INTRO TO DISCRETE STRUCTURES,Computer Science,CMSC,3,Engineering,Jun
312,INTRO TO OPERATING SYSTEMS,Computer Science,CMSC,3,Engineering,Jun
355,SOFTWARE ENGINEER: SPEC & DES,Computer Science,CMSC,3,Engineering,Jun
409,ARTIFICIAL INTELLIGENCE,Computer Science,CMSC,3,Engineering,Senior
451,SENIOR PROJECT I,Computer Science,CMSC,3,Engineering,Senior
491,TOPICS IN COMPUTER SCIENCE,Computer Science,CMSC,3,Engineering,Senior
492,INDEPENDENT STUDY,Computer Science,CMSC,2,Engineering,Senior
493,COMPUTER SCIENCE INTERNSHIP,Computer Science,CMSC,3,Engineering,Senior
501,ADVANCED ALGORITHMS,Computer Science,CMSC,3,Engineering,Senior
502,PARALLEL ALGORITHMS,Computer Science,CMSC,3,Engineering,Senior
591,TOPICS IN COMPUTER SCIENCE,Computer Science,CMSC,3,Engineering,Senior
605,ADVANCED COMPUTER ARCHITECTURE,Computer Science,CMSC,3,Engineering,Senior
620,APPLIED CRYPTOGRAPHY,Computer Science,CMSC,3,Engineering,Senior
635,KNOWLEDGE DSCVRY & DATA MINING,Computer Science,CMSC,3,Engineering,Senior
692,INDEPENDENT STUDY,Computer Science,CMSC,3,Engineering,Senior
697,DIRECTED RESEARCH,Computer Science,CMSC,3,Engineering,Senior
101,INTRO TO COMPUTER SCIENCE,Computer Science,CMSC,3,Engineering,Fresh
255,INTRODUCTION TO PROGRAMMING,Computer Science,CMSC,4,Engineering,Soph
303,INTRO TO THEORY OF CMPUTATION,Computer Science,CMSC,5,Engineering,Soph
311,COMPUTER ORGANIZATION,Computer Science,CMSC,6,Engineering,Soph
312,INTRO TO OPERATING SYSTEMS,Computer Science,CMSC,7,Engineering,Soph
401,ALGORITHM ANL W/ADV DATA STRUC,Computer Science,CMSC,8,Engineering,Senior
403,PROGRAMMING LANGUAGES,Computer Science,CMSC,9,Engineering,Senior
420,SOFTWARE ENGINEERING PROJ MGMT,Computer Science,CMSC,10,Engineering,Senior
452,SENIOR PROJECT II,Computer Science,CMSC,11,Engineering,Senior
491,TOPICS IN COMPUTER SCIENCE,Computer Science,CMSC,12,Engineering,Senior
492,INDEPENDENT STUDY,Computer Science,CMSC,13,Engineering,Senior
493,COMPUTER SCIENCE INTERNSHIP,Computer Science,CMSC,14,Engineering,Senior
506,COMPUTER NETWORK & COMMUNICATN,Computer Science,CMSC,15,Engineering,Grad
508,DATA BASE THEORY,Computer Science,CMSC,16,Engineering,Grad
618,DATABASE & APPLCTN SECURITY,Computer Science,CMSC,17,Engineering,Grad
623,CLOUD COMPUTING,Computer Science,CMSC,18,Engineering,Grad
678,STAT LRNG & FUZZY LOG ALGRTHMS,Computer Science,CMSC,19,Engineering,Grad
691,SPECIAL TOPICS IN COMPUTER SCI,Computer Science,CMSC,20,Engineering,Grad
692,INDEPENDENT STUDY,Computer Science,CMSC,21,Engineering,Grad
697,DIRECTED RESEARCH,Computer Science,CMSC,22,Engineering,Grad
201,FOUNDATIONS OF BUSINESS I,Business,BUSN,3,Business,Soph
202,FOUNDATIONS OF BUSINESS II,Business,BUSN,3,Business,Soph
225,WINNING PRESENTATIONS,Business,BUSN,3,Business,Soph
700,PRINCPLS OF SCI INQUIRY IN BUS,Business,BUSN,3,Business,Grad
701,RESEARCH DESIGN IN BUSINESS,Business,BUSN,3,Business,Grad
206,AMERICAN LITERATURE II,English,ENGL,3,English,Soph
215,TEXTUAL ANALYSIS,English,ENGL,3,English,Soph
291,TOPICS IN LITERATURE,English,ENGL,3,English,Soph
295,THE RDNG & WRTG OF FIC&POETRY,English,ENGL,4,English,Soph
301,INTRO TO ENGLISH MAJOR WI,English,ENGL,2,English,Jun
303,WRITING FOR STAGE &/OR SCREEN,English,ENGL,1,English,Jun
304,ADVANCED WRITING WI,English,ENGL,4,English,Jun
305,WRITING POETRY,English,ENGL,2,English,Jun
307,WRITING FICTION,English,ENGL,2,English,Jun
309,WRITING CREATIVE NONFICTION,English,ENGL,1,English,Jun
310,BUS & TECH REPORT WRITING WI,English,ENGL,1,English,Jun
311,INTRO TO LITERARY THEORY,English,ENGL,4,English,Jun
321,"ENGLISH DRAMA, 900-1642",English,ENGL,2,English,Jun
326,SHAKESPEARE IN CONTEXT,English,ENGL,3,English,Jun
330,RESTORATION & 18TH CENT DRAMA,English,ENGL,3,English,Jun
332,18TH CENT BRIT NOVEL & NARRTVE,English,ENGL,4,English,Jun
337,VICTORIAN POETRY,English,ENGL,2,English,Jun
342,THE MODERN NOVEL,English,ENGL,1,English,Jun
347,CONTEMPORARY LITERATURE,English,ENGL,4,English,Jun
352,FEMINIST LITERARY THEORY,English,ENGL,3,English,Jun
361,THE BIBLE AS LITERATURE WI,English,ENGL,3,English,Jun
364,MYTHOLOGY & FOLKLORE,English,ENGL,4,English,Jun
366,WRITING & SOCIAL CHANGE:__,English,ENGL,2,English,Jun
368,NATURE WRITING,English,ENGL,1,English,Jun
369,ILLNESS NARRATIVES,English,ENGL,4,English,Jun
371,AMERICAN LITERARY BEGINNINGS,English,ENGL,3,English,Jun
374,U.S. LITERATURE: MODERNISM,English,ENGL,3,English,Jun
375,U.S. LITERATURE AFTER 1945,English,ENGL,4,English,Jun
377,19TH CENT U.S. NOVELS & NARR,English,ENGL,2,English,Jun
379,AFAM LIT:BEGNGS THR HRLM RENSS,English,ENGL,1,English,Jun
380,SOUTHERN LITERATURE,English,ENGL,4,English,Jun
382,AFRICAN-AM LIT:REALISM TO PRES,English,ENGL,3,English,Jun
385,FICTION INTO FILM,English,ENGL,3,English,Jun
386,CHILDREN'S LITERATURE,English,ENGL,4,English,Jun
388,WRITING IN THE WORKPLACE WI,English,ENGL,2,English,Jun
390,INTRO TO LINGUISTICS,English,ENGL,1,English,Jun
391,TOPICS IN LITERATURE,English,ENGL,4,English,Jun
392,"LANGUAGE, CULTURE, & COGNITION",English,ENGL,3,English,Jun
401,SHAKESPEARE,English,ENGL,3,English,Senior
402,CHAUCER,English,ENGL,4,English,Senior
412,18TH CENTURY STUDIES:,English,ENGL,2,English,Senior
414,20TH CENTURY STUDIES:,English,ENGL,1,English,Senior
435,ADVANCED POETRY WRITING,English,ENGL,4,English,Senior
437,ADVANCED FICTION WRITING,English,ENGL,3,English,Senior
439,ADV CREATIVE NONFICTN WRITING,English,ENGL,3,English,Senior
451,HISTORY OF ENGLISH LANGUAGE,English,ENGL,4,English,Senior
491,TOPICS IN WRITING,English,ENGL,4,English,Senior
492,INDEPENDENT STUDY,English,ENGL,3,English,Senior
493,ENGLISH INTERNSHIP,English,ENGL,3,English,Senior
499,SENIOR SEMINAR,English,ENGL,4,English,Senior
500,PRACTICUM IN COLLEGE ENGLISH,English,ENGL,2,English,Grad
501,INTRO TO GRAD STUDIES IN ENG,English,ENGL,1,English,Grad
552,TEACHING ENGLISH AS SECND LANG,English,ENGL,4,English,Grad
560,SPECIAL TOPICS IN BRIT LIT,English,ENGL,3,English,Grad
570,SPECIAL TOPICS IN AMERICAN LIT,English,ENGL,3,English,Grad
601,YOUNG ADULT LITERATURE,English,ENGL,4,English,Grad
605,INTRO TO SCHOLARSHP IN ENG STU,English,ENGL,2,English,Grad
611,AUTHORS,English,ENGL,1,English,Grad
614,CULTURAL DISCOURSES,English,ENGL,4,English,Grad
631,FORM & THEORY CREATIVE NONFICT,English,ENGL,3,English,Grad
666,CREATIVE WRITING: FICTION,English,ENGL,3,English,Grad
667,CREATIVE WRITING: POETRY,English,ENGL,4,English,Grad
671,FILM AND TELEVISION SCRIPTS,English,ENGL,2,English,Grad
673,TEACHING CREATIVE WRITING,English,ENGL,1,English,Grad
692,INDEPENDENT STUDY,English,ENGL,4,English,Grad
694,INTERNSHIP IN WRITING,English,ENGL,3,English,Grad
695,DIRECTED STUDY,English,ENGL,3,English,Grad
798,THESIS,English,ENGL,4,English,Grad
799,THESIS,English,ENGL,2,English,Grad
